Id,Total words,Average words per sentence,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6
181,184,13.142857142857142,56,0.11413043478260869,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
182,682,22.0,176,0.10089020771513353,8,7,7,7,6,4,4,2,2,2,2,2,2,1,1,1,1,1
183,618,17.166666666666668,168,0.09562398703403566,17,14,8,8,7,7,6,5,4,4,3,3,2,2,2,2,2,2
184,192,12.8,64,0.11764705882352941,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
185,353,16.045454545454547,99,0.10315186246418338,5,5,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1
186,1848,15.931034482758621,542,0.09807162534435261,32,28,20,20,19,19,13,7,6,5,4,3,7,3,2,2,2,2
187,582,20.06896551724138,173,0.1426086956521739,6,5,5,4,4,4,2,2,2,2,1,1,2,1,1,1,1,1
188,275,14.473684210526315,91,0.16117216117216118,12,5,4,4,4,4,5,3,2,2,2,2,2,2,2,2,2,2
189,333,23.785714285714285,81,0.10574018126888217,10,5,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1
190,218,13.625,75,0.16279069767441862,6,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
191,259,17.266666666666666,57,0.07364341085271318,7,5,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
192,623,19.46875,182,0.10327868852459017,16,9,6,5,5,4,4,3,3,2,2,2,2,1,1,1,1,1
193,199,13.266666666666667,64,0.11734693877551021,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
194,113,18.833333333333332,32,0.125,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
195,320,16.0,96,0.09841269841269841,7,6,4,4,3,3,5,2,2,1,1,1,1,1,1,1,1,1
196,297,24.75,69,0.08417508417508418,6,6,6,5,4,4,2,2,2,2,2,2,2,2,1,1,1,1
197,606,24.24,135,0.10981697171381032,16,11,11,5,5,4,3,2,2,2,1,1,1,1,1,1,1,1
198,309,14.714285714285714,86,0.08609271523178808,6,5,5,4,4,3,2,2,2,1,1,1,1,1,1,1,1,1
199,1246,29.666666666666668,267,0.0991136180499597,14,14,12,9,8,8,10,7,6,6,5,4,6,4,2,2,2,2
200,223,12.38888888888889,72,0.1152073732718894,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
