Id,Total words,Average words per sentence,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6
114,335,27.916666666666668,65,0.11411411411411411,11,7,6,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2
115,280,20.0,63,0.11071428571428571,8,7,7,5,3,3,6,4,2,2,2,2,4,2,2,1,1,1
116,445,26.176470588235293,111,0.13963963963963963,16,13,11,9,8,7,8,7,4,3,3,2,2,2,2,2,2,2
117,404,21.263157894736842,77,0.11386138613861387,8,8,5,4,4,4,3,2,2,2,2,2,1,1,1,1,1,1
118,337,22.466666666666665,63,0.09281437125748503,9,8,7,7,5,4,4,3,3,3,3,3,3,3,3,2,2,1
119,338,19.88235294117647,83,0.14583333333333334,11,8,7,4,3,3,6,4,2,2,2,2,2,2,2,1,1,1
120,265,18.928571428571427,70,0.1417624521072797,9,6,5,5,4,4,3,3,3,3,2,2,3,3,2,2,2,2
121,325,23.214285714285715,49,0.025,8,7,6,6,5,5,3,3,3,3,2,2,2,2,2,2,2,1
122,315,24.23076923076923,63,0.08945686900958466,9,8,5,5,4,4,5,4,4,4,3,3,4,4,3,2,2,2
123,472,24.842105263157894,86,0.09110169491525423,9,6,6,5,5,5,6,5,4,3,3,3,4,3,3,3,2,2
124,243,22.09090909090909,47,0.0823045267489712,9,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
125,324,23.142857142857142,82,0.11949685534591195,10,8,7,6,4,4,5,5,4,3,3,3,3,3,3,3,2,2
126,348,21.75,88,0.13005780346820808,10,10,5,5,5,5,9,4,3,3,2,2,3,2,2,2,2,1
127,292,18.25,68,0.11379310344827587,6,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
128,433,24.055555555555557,88,0.10574712643678161,15,12,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1
129,303,18.9375,63,0.10596026490066225,15,11,7,5,5,4,6,5,3,3,2,2,3,2,2,2,2,1
130,363,15.782608695652174,69,0.07142857142857142,11,10,9,7,7,7,5,4,4,3,3,2,3,2,2,2,2,1
131,409,17.782608695652176,87,0.09330143540669857,10,10,8,7,7,6,6,5,5,4,4,3,5,5,4,3,3,1
132,514,28.555555555555557,98,0.09320388349514563,6,4,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1
133,219,12.882352941176471,57,0.1493212669683258,12,6,4,4,4,4,2,2,2,2,2,2,2,2,1,1,1,1
134,344,24.571428571428573,58,0.0782608695652174,7,5,5,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1
135,348,15.818181818181818,63,0.05714285714285714,19,11,8,6,5,4,5,4,4,3,2,2,4,2,2,2,1,1
136,651,25.03846153846154,156,0.10122699386503067,26,12,10,9,8,8,6,6,5,5,3,2,5,4,3,2,2,2
137,408,15.692307692307692,79,0.08557457212713937,9,8,8,8,6,6,3,2,2,2,2,2,2,2,1,1,1,1
138,430,20.476190476190474,80,0.07925407925407925,13,10,10,9,8,7,7,4,4,4,3,2,2,2,2,2,1,1
